FITNESS: 0.0868316123095798, SCORE: 8493, PARAMETERS: [106, 48, 0.15, 0.77, 0.3, 244, 27, 0.21, 0.21, 0.7, 0.12, 0.04, 0.24, 0.14, 0.83, 777, 0.77, 0.15, 1, 10] 
 
FITNESS: 1.0, SCORE: 85003, PARAMETERS: [0, 50, 0.3, 0.87, 0.85, 290, 50, 0.5, 0, 1, 0, 0.01, 0.98, 1.05, 0.9, 500, 0.15, 0.33, 4, 7] 
 
FITNESS: 0.9802810773180176, SCORE: 112649, PARAMETERS: [218, 50, 0.3, 0.87, 0.85, 290, 50, 0.5, 0, 1, 0.89, 0.2, 0.13, 0.82, 0.95, 159, 0.53, 0.46, 6, 2] 
 
FITNESS: 1.081088878026108, SCORE: 134908, PARAMETERS: [341, 50, 0.3, 0.94, 0.85, 300, 50, 0.5, 0, 1, 0, 0.01, 0.98, 1.05, 0.9, 158, 0.2, 0.21, 4, 10] 
 
FITNESS: 1.3468580449654322, SCORE: 74224, PARAMETERS: [525, 50, 0.3, 0.87, 0.85, 290, 50, 0.5, 0, 1, 0, 0.01, 0.98, 1.05, 0.9, 500, 0.53, 0.33, 4, 10] 
 
FITNESS: 0.9744570322234363, SCORE: 101669, PARAMETERS: [412, 50, 0.3, 0.94, 0.85, 300, 50, 0.5, 0, 1, 0, 0.01, 0.98, 1.05, 0.9, 500, 0.15, 0.33, 4, 10]

FITNESS: 1.0522366126535652, SCORE: 107406, PARAMETERS: [715, 50, 0.3, 0.94, 0.85, 290, 50, 0.5, 0, 1, 0, 0.01, 0.98, 1.05, 0.9, 500, 0.15, 0.33, 4, 7] 
 
FITNESS: 1.056172734005583, SCORE: 111234, PARAMETERS: [694, 54, 0.6, 0.94, 1.0, 302, 50, 0.5, 0, 1, 0, 0.01, 1.0, 1.05, 0.9, 549, 0.18, 0.9900000000000001, 4, 7] 
 
FITNESS: 1.0123398884549129, SCORE: 118709, PARAMETERS: [867, 50, 0.3, 0.87, 0.85, 290, 50, 0.5, 0, 1, 0, 0.01, 0.98, 1.05, 0.9, 500, 0.15, 0.33, 4, 8] 
 
FITNESS: 1.1817972463934991, SCORE: 71845, PARAMETERS: [997, 50, 0.3, 0.87, 0.85, 290, 50, 0.5, 0, 1, 0, 0.01, 0.98, 1.05, 0.9, 500, 0.15, 0.33, 4, 10] 
 
FITNESS: 0.8831958334837708, SCORE: 195695, PARAMETERS: [1242, 50, 0.3, 0.94, 0.85, 300, 50, 0.5, 0, 1, 0, 0.36, 0.98, 1.05, 0.9, 500, 0.15, 0.33, 4, 10] 
 
FITNESS: 1.0491152815013405, SCORE: 146745, PARAMETERS: [1285, 50, 0.3, 0.94, 0.85, 290, 50, 0.5, 0, 1, 0, 0.01, 0.98, 1.05, 0.9, 500, 0.15, 0.33, 4, 10] 
 
FITNESS: 1.3908185296011515, SCORE: 110157, PARAMETERS: [1283, 50, 0.3, 0.94, 0.85, 290, 50, 0.5, 0, 1, 0, 0.01, 0.98, 1.05, 0.9, 500, 0.15, 0.33, 4, 8] 
 
FITNESS: 1.1601125409344588, SCORE: 125762, PARAMETERS: [1497, 50, 0.3, 0.89, 0.85, 290, 50, 0.5, 0, 0.58, 0, 0.01, 0.98, 1.05, 0.9, 500, 0.15, 0.6100000000000001, 4, 10] 
 
FITNESS: 1.0012299588150155, SCORE: 161179, PARAMETERS: [1628, 50, 0.3, 0.89, 0.85, 290, 50, 0.5, 0, 1, 0, 0.01, 0.98, 1.05, 0.9, 500, 0.15, 0.6100000000000001, 4, 10] 
 
FITNESS: 0.993644114230609, SCORE: 90674, PARAMETERS: [1725, 50, 0.3, 0.89, 0.85, 290, 50, 0.5, 0, 0.58, 0, 0.01, 0.98, 1.05, 0.9, 500, 0.15, 0.6100000000000001, 4, 10] 
 
FITNESS: 1.0242642752820483, SCORE: 145170, PARAMETERS: [1958, 53, 0.3, 0.94, 0.88, 290, 50, 0.5, 0, 1, 0, 0.01, 0.98, 1.05, 0.9, 501, 0.37, 0.6100000000000001, 4, 11] 

FITNESS: 1.3676064123825318, SCORE: 96486, PARAMETERS: [1682, 50, 0.3, 0.94, 0.85, 290, 50, 0.5, 0, 1, 0, 0.01, 0.98, 1.05, 0.9, 500, 0.15, 0.6100000000000001, 4, 10] 
 
FITNESS: 1.052096323371318, SCORE: 97866, PARAMETERS: [1900, 50, 0.3, 0.94, 0.85, 290, 50, 0.5, 0, 1, 0, 0.01, 0.98, 1.05, 0.9, 500, 0.15, 0.6100000000000001, 4, 10] 
